DATA;CHUVA (mm);NÍVEL (m);CHUVA CORRIGIDA;NÍVEL CORRIGIDO;COMENTARIOS CHUVA;COMENTARIOS NÍVEL
2/1/2019 09:00;0;1,57;0;;;
2/1/2019 09:15;0;1,57;0;;;
2/1/2019 09:30;0;1,56;0;;;
2/1/2019 09:45;0;1,56;0;;;
2/1/2019 10:00;0;1,56;0;;;
2/1/2019 10:15;0;1,55;0;;;
2/1/2019 10:30;0;1,54;0;;;
2/1/2019 10:45;0;1,54;0;;;
2/1/2019 11:00;0;1,54;0;;;
2/1/2019 11:15;0;1,54;0;;;
2/1/2019 11:30;0;1,54;0;;;
2/1/2019 11:45;0;1,54;0;;;
2/1/2019 12:00;0;1,54;0;;;
2/1/2019 12:15;0;1,54;0;;;
2/1/2019 12:30;0;1,54;0;;;
2/1/2019 12:45;0;1,55;0;;;
2/1/2019 13:00;0;1,55;0;;;
2/1/2019 13:15;0;1,56;0;;;
2/1/2019 13:30;0;1,57;0;;;
2/1/2019 13:45;0;1,58;0;;;
2/1/2019 14:00;0;1,59;0;;;
2/1/2019 14:15;0;1,61;0;;;
2/1/2019 14:30;0;1,62;0;;;
2/1/2019 14:45;0;1,63;0;;;
2/1/2019 15:00;0;1,66;0;;;
2/1/2019 15:15;0;1,69;0;;;
2/1/2019 15:30;0;1,71;0;;;
2/1/2019 15:45;0;1,74;0;;;
2/1/2019 16:00;0;1,77;0;;;
2/1/2019 16:15;0;1,8;0;;;
2/1/2019 16:30;0;1,83;0;;;
2/1/2019 16:45;0;1,86;0;;;
2/1/2019 17:00;0;1,88;0;;;
2/1/2019 17:15;0,400000000000006;1,91;0,400000000000006;;;
2/1/2019 17:30;0,599999999999994;1,94;0,599999999999994;;;
2/1/2019 17:45;2;1,97;2;;;
2/1/2019 18:00;1,8;2;1,8;;;
2/1/2019 18:15;2,40000000000001;2,03;2,40000000000001;;;
2/1/2019 18:30;0,400000000000006;2,05;0,400000000000006;;;
2/1/2019 18:45;0;2,08;0;;;
2/1/2019 19:00;0;2,11;0;;;
2/1/2019 19:15;0;2,23;0;;;
2/1/2019 19:30;0;2,3;0;;;
2/1/2019 19:45;0;2,36;0;;;
2/1/2019 20:00;0;2,4;0;;;
2/1/2019 20:15;0;2,43;0;;;
2/1/2019 20:30;0;2,46;0;;;
2/1/2019 20:45;0;2,45;0;;;
2/1/2019 21:00;0;2,43;0;;;
2/1/2019 21:15;0;2,38;0;;;
2/1/2019 21:30;0;2,32;0;;;
2/1/2019 21:45;0;2,26;0;;;
2/1/2019 22:00;0;2,19;0;;;
2/1/2019 22:15;0;2,13;0;;;
2/1/2019 22:30;0;2,09;0;;;
2/1/2019 22:45;0;2,05;0;;;
2/1/2019 23:00;0;2,02;0;;;
2/1/2019 23:15;0;1,99;0;;;
2/1/2019 23:30;0;1,97;0;;;
2/1/2019 23:45;0;1,95;0;;;
3/1/2019 00:00;0;1,94;0;;;
3/1/2019 00:15;0;1,92;0;;;
3/1/2019 00:30;0;1,92;0;;;
3/1/2019 00:45;0;1,91;0;;;
3/1/2019 01:00;0;1,9;0;;;
3/1/2019 01:15;0;1,89;0;;;
3/1/2019 01:30;0;1,88;0;;;
3/1/2019 01:45;0;1,87;0;;;
3/1/2019 02:00;0;1,86;0;;;
3/1/2019 02:15;0;1,85;0;;;
3/1/2019 02:30;0;1,84;0;;;
3/1/2019 02:45;0;1,83;0;;;
3/1/2019 03:00;0;1,82;0;;;
3/1/2019 03:15;0;1,81;0;;;
3/1/2019 03:30;0;1,79;0;;;
3/1/2019 03:45;0;1,78;0;;;
3/1/2019 04:00;0;1,77;0;;;
3/1/2019 04:15;0;1,76;0;;;
3/1/2019 04:30;0;1,75;0;;;
3/1/2019 04:45;0;1,74;0;;;
3/1/2019 05:00;0;1,73;0;;;
3/1/2019 05:15;0;1,72;0;;;
3/1/2019 05:30;0;1,71;0;;;
3/1/2019 05:45;0;1,7;0;;;
3/1/2019 06:00;0;1,69;0;;;
3/1/2019 06:15;0;1,68;0;;;
3/1/2019 06:30;0;1,68;0;;;
3/1/2019 06:45;0;1,67;0;;;
3/1/2019 07:00;0;1,66;0;;;
3/1/2019 07:15;0;1,65;0;;;
3/1/2019 07:30;0;1,65;0;;;
3/1/2019 07:45;0;1,64;0;;;
3/1/2019 08:00;0;1,63;0;;;
3/1/2019 08:15;0;1,63;0;;;
3/1/2019 08:30;0;1,62;0;;;
3/1/2019 08:45;0;1,62;0;;;
3/1/2019 09:00;0;1,62;0;;;
3/1/2019 09:15;0;1,61;0;;;
3/1/2019 09:30;0;1,61;0;;;
3/1/2019 09:45;0;1,6;0;;;
3/1/2019 10:00;0;1,6;0;;;
3/1/2019 10:15;0;1,6;0;;;
3/1/2019 10:30;0;1,6;0;;;
3/1/2019 10:45;0;1,59;0;;;
3/1/2019 11:00;0;1,59;0;;;
3/1/2019 11:15;0;1,59;0;;;
3/1/2019 11:30;0;1,59;0;;;
3/1/2019 11:45;0;1,59;0;;;
3/1/2019 12:00;0;1,59;0;;;
3/1/2019 12:15;0;1,59;0;;;
3/1/2019 12:30;0;1,59;0;;;
3/1/2019 12:45;0;1,59;0;;;
3/1/2019 13:00;0;1,59;0;;;
3/1/2019 13:15;0;1,6;0;;;
3/1/2019 13:30;0;1,6;0;;;
3/1/2019 13:45;0;1,61;0;;;
3/1/2019 14:00;0;1,61;0;;;
3/1/2019 14:15;0;1,62;0;;;
3/1/2019 14:30;0;1,63;0;;;
3/1/2019 14:45;0;1,65;0;;;
3/1/2019 15:00;0;1,66;0;;;
3/1/2019 15:15;0;1,67;0;;;
3/1/2019 15:30;0;1,68;0;;;
3/1/2019 15:45;0;1,69;0;;;
3/1/2019 16:00;0;1,7;0;;;
3/1/2019 16:15;0;1,72;0;;;
3/1/2019 16:30;0;1,73;0;;;
3/1/2019 16:45;0;1,74;0;;;
3/1/2019 17:00;0;1,75;0;;;
3/1/2019 17:15;0;1,76;0;;;
3/1/2019 17:30;0;1,78;0;;;
3/1/2019 17:45;0;1,79;0;;;
3/1/2019 18:00;0;1,8;0;;;
3/1/2019 18:15;0;1,81;0;;;
3/1/2019 18:30;0;1,82;0;;;
3/1/2019 18:45;0;1,83;0;;;
3/1/2019 19:00;0;1,83;0;;;
3/1/2019 19:15;0;1,84;0;;;
3/1/2019 19:30;0;1,84;0;;;
3/1/2019 19:45;0;1,84;0;;;
3/1/2019 20:00;0;1,84;0;;;
3/1/2019 20:15;0;1,84;0;;;
3/1/2019 20:30;0;1,84;0;;;
3/1/2019 20:45;0;1,84;0;;;
3/1/2019 21:00;0;1,84;0;;;
3/1/2019 21:15;0;1,84;0;;;
3/1/2019 21:30;0;1,83;0;;;
3/1/2019 21:45;0;1,82;0;;;
3/1/2019 22:00;0;1,82;0;;;
3/1/2019 22:15;0;1,81;0;;;
3/1/2019 22:30;0;1,81;0;;;
3/1/2019 22:45;0;1,8;0;;;
3/1/2019 23:00;0;1,79;0;;;
3/1/2019 23:15;0,199999999999989;1,79;0,199999999999989;;;
3/1/2019 23:30;0;1,78;0;;;
3/1/2019 23:45;0,200000000000003;1,78;0,200000000000003;;;
4/1/2019 00:00;0,200000000000003;1,77;0,200000000000003;;;
4/1/2019 00:15;0;1,76;0;;;
4/1/2019 00:30;0,200000000000003;1,76;0,200000000000003;;;
4/1/2019 00:45;0,200000000000003;1,79;0,200000000000003;;;
4/1/2019 01:00;0;1,83;0;;;
4/1/2019 01:15;0,199999999999989;1,86;0,199999999999989;;;
4/1/2019 01:30;0;1,88;0;;;
4/1/2019 01:45;0,200000000000003;1,88;0,200000000000003;;;
4/1/2019 02:00;0;1,88;0;;;
4/1/2019 02:15;0;1,87;0;;;
4/1/2019 02:30;0,200000000000003;1,87;0,200000000000003;;;
4/1/2019 02:45;0;1,86;0;;;
4/1/2019 03:00;0;1,86;0;;;
4/1/2019 03:15;0,200000000000003;1,85;0,200000000000003;;;
4/1/2019 03:30;0;1,84;0;;;
4/1/2019 03:45;0;1,84;0;;;
4/1/2019 04:00;0;1,83;0;;;
4/1/2019 04:15;0;1,82;0;;;
4/1/2019 04:30;0,200000000000003;1,82;0,200000000000003;;;
4/1/2019 04:45;0;1,81;0;;;
4/1/2019 05:00;0;1,81;0;;;
4/1/2019 05:15;0;1,8;0;;;
4/1/2019 05:30;0,199999999999989;1,79;0,199999999999989;;;
4/1/2019 05:45;0;1,79;0;;;
4/1/2019 06:00;0;1,78;0;;;
4/1/2019 06:15;0;1,77;0;;;
4/1/2019 06:30;0;1,77;0;;;
4/1/2019 06:45;0;1,76;0;;;
4/1/2019 07:00;0;1,76;0;;;
4/1/2019 07:15;0;1,75;0;;;
4/1/2019 07:30;0;1,75;0;;;
4/1/2019 07:45;0;1,74;0;;;
4/1/2019 08:00;0,200000000000003;1,73;0,200000000000003;;;
4/1/2019 08:15;0;1,73;0;;;
4/1/2019 08:30;0;1,72;0;;;
4/1/2019 08:45;0;1,71;0;;;
4/1/2019 09:00;0;1,7;0;;;
4/1/2019 09:15;0;1,7;0;;;
4/1/2019 09:30;0;1,69;0;;;
4/1/2019 09:45;0;1,68;0;;;
4/1/2019 10:00;0;1,68;0;;;
4/1/2019 10:15;0,200000000000003;1,67;0,200000000000003;;;
4/1/2019 10:30;0;1,67;0;;;
4/1/2019 10:45;0;1,67;0;;;
4/1/2019 11:00;0;1,66;0;;;
4/1/2019 11:15;0;1,66;0;;;
4/1/2019 11:30;0;1,66;0;;;
4/1/2019 11:45;0;1,65;0;;;
4/1/2019 12:00;0;1,65;0;;;
4/1/2019 12:15;0;1,65;0;;;
4/1/2019 12:30;0;1,65;0;;;
4/1/2019 12:45;0;1,65;0;;;
4/1/2019 13:00;0;1,65;0;;;
4/1/2019 13:15;0;1,65;0;;;
4/1/2019 13:30;0;1,65;0;;;
4/1/2019 13:45;0;1,65;0;;;
4/1/2019 14:00;0;1,66;0;;;
4/1/2019 14:15;0;1,66;0;;;
4/1/2019 14:30;0;1,66;0;;;
4/1/2019 14:45;0;1,67;0;;;
4/1/2019 15:00;0;1,67;0;;;
4/1/2019 15:15;0;1,68;0;;;
4/1/2019 15:30;0;1,68;0;;;
4/1/2019 15:45;0;1,69;0;;;
4/1/2019 16:00;0;1,69;0;;;
4/1/2019 16:15;0;1,7;0;;;
4/1/2019 16:30;0;1,71;0;;;
4/1/2019 16:45;0;1,71;0;;;
4/1/2019 17:00;0;1,72;0;;;
4/1/2019 17:15;0,200000000000003;1,73;0,200000000000003;;;
4/1/2019 17:30;0;1,74;0;;;
4/1/2019 17:45;0;1,74;0;;;
4/1/2019 18:00;0;1,75;0;;;
4/1/2019 18:15;0;1,75;0;;;
4/1/2019 18:30;0;1,76;0;;;
4/1/2019 18:45;0;1,77;0;;;
4/1/2019 19:00;0;1,77;0;;;
4/1/2019 19:15;0;1,77;0;;;
4/1/2019 19:30;0;1,78;0;;;
4/1/2019 19:45;0;1,78;0;;;
4/1/2019 20:00;0;1,78;0;;;
4/1/2019 20:15;0;1,78;0;;;
4/1/2019 20:30;0;1,78;0;;;
4/1/2019 20:45;0;1,78;0;;;
4/1/2019 21:00;0;1,78;0;;;
4/1/2019 21:15;0;1,78;0;;;
4/1/2019 21:30;0;1,78;0;;;
4/1/2019 21:45;0;1,78;0;;;
4/1/2019 22:00;0;1,78;0;;;
4/1/2019 22:15;0;1,78;0;;;
4/1/2019 22:30;0;1,78;0;;;
4/1/2019 22:45;0;1,78;0;;;
4/1/2019 23:00;0;1,78;0;;;
4/1/2019 23:15;0;1,77;0;;;
4/1/2019 23:30;0;1,77;0;;;
4/1/2019 23:45;0;1,77;0;;;
5/1/2019 00:00;0;1,77;0;;;
5/1/2019 00:15;0;1,77;0;;;
5/1/2019 00:30;0;1,77;0;;;
5/1/2019 00:45;0;1,76;0;;;
5/1/2019 01:00;0;1,76;0;;;
5/1/2019 01:15;0;1,75;0;;;
5/1/2019 01:30;0,200000000000003;1,75;0,200000000000003;;;
5/1/2019 01:45;0;1,75;0;;;
5/1/2019 02:00;0;1,75;0;;;
5/1/2019 02:15;0;1,75;0;;;
5/1/2019 02:30;0;1,75;0;;;
5/1/2019 02:45;0;1,75;0;;;
5/1/2019 03:00;0;1,76;0;;;
5/1/2019 03:15;0;1,76;0;;;
5/1/2019 03:30;0;1,76;0;;;
5/1/2019 03:45;0;1,76;0;;;
5/1/2019 04:00;0;1,76;0;;;
5/1/2019 04:15;0;1,76;0;;;
5/1/2019 04:30;0;1,76;0;;;
5/1/2019 04:45;0;1,77;0;;;
5/1/2019 05:00;0;1,77;0;;;
5/1/2019 05:15;0;1,77;0;;;
5/1/2019 05:30;0;1,77;0;;;
5/1/2019 05:45;0;1,77;0;;;
5/1/2019 06:00;0;1,76;0;;;
5/1/2019 06:15;0;1,75;0;;;
5/1/2019 06:30;0;1,74;0;;;
5/1/2019 06:45;0;1,74;0;;;
5/1/2019 07:00;0;1,75;0;;;
5/1/2019 07:15;0;1,74;0;;;
5/1/2019 07:30;0;1,74;0;;;
5/1/2019 07:45;0;1,73;0;;;
5/1/2019 08:00;0;1,73;0;;;
5/1/2019 08:15;0;1,72;0;;;
5/1/2019 08:30;0;1,72;0;;;
5/1/2019 08:45;0;1,71;0;;;
5/1/2019 09:00;0;1,71;0;;;
5/1/2019 09:15;0;1,71;0;;;
5/1/2019 09:30;0;1,7;0;;;
5/1/2019 09:45;0;1,7;0;;;
5/1/2019 10:00;0;1,7;0;;;
5/1/2019 10:15;0;1,7;0;;;
5/1/2019 10:30;0;1,7;0;;;
5/1/2019 10:45;0;1,69;0;;;
5/1/2019 11:00;0;1,69;0;;;
5/1/2019 11:15;0;1,69;0;;;
5/1/2019 11:30;0;1,69;0;;;
5/1/2019 11:45;0;1,69;0;;;
5/1/2019 12:00;0;1,69;0;;;
5/1/2019 12:15;0;1,68;0;;;
5/1/2019 12:30;0;1,68;0;;;
5/1/2019 12:45;0;1,68;0;;;
5/1/2019 13:00;0;1,68;0;;;
5/1/2019 13:15;0;1,69;0;;;
5/1/2019 13:30;0;1,69;0;;;
5/1/2019 13:45;0;1,69;0;;;
5/1/2019 14:00;0;1,69;0;;;
5/1/2019 14:15;0;1,69;0;;;
5/1/2019 14:30;0;1,69;0;;;
5/1/2019 14:45;0;1,7;0;;;
5/1/2019 15:00;0;1,7;0;;;
5/1/2019 15:15;0;1,7;0;;;
5/1/2019 15:30;0;1,7;0;;;
5/1/2019 15:45;0;1,7;0;;;
5/1/2019 16:00;0;1,7;0;;;
5/1/2019 16:15;0;1,71;0;;;
5/1/2019 16:30;0;1,71;0;;;
5/1/2019 16:45;0;1,71;0;;;
5/1/2019 17:00;0;1,71;0;;;
5/1/2019 17:15;0;1,71;0;;;
5/1/2019 17:30;0;1,71;0;;;
5/1/2019 17:45;0;1,72;0;;;
5/1/2019 18:00;0;1,72;0;;;
5/1/2019 18:15;0;1,72;0;;;
5/1/2019 18:30;0;1,72;0;;;
5/1/2019 18:45;0;1,72;0;;;
5/1/2019 19:00;0;1,73;0;;;
5/1/2019 19:15;0;1,73;0;;;
5/1/2019 19:30;0;1,75;0;;;
5/1/2019 19:45;0;1,77;0;;;
5/1/2019 20:00;0;1,8;0;;;
5/1/2019 20:15;0;1,82;0;;;
5/1/2019 20:30;0;1,84;0;;;
5/1/2019 20:45;0;1,86;0;;;
5/1/2019 21:00;0;1,88;0;;;
5/1/2019 21:15;0;1,91;0;;;
5/1/2019 21:30;0;1,93;0;;;
5/1/2019 21:45;0;1,95;0;;;
5/1/2019 22:00;0;1,97;0;;;
5/1/2019 22:15;0;2;0;;;
5/1/2019 22:30;0;2,02;0;;;
5/1/2019 22:45;0;2,04;0;;;
5/1/2019 23:00;0;2,06;0;;;
5/1/2019 23:15;0;2,08;0;;;
5/1/2019 23:30;0;2,11;0;;;
5/1/2019 23:45;0;2,13;0;;;
6/1/2019 00:00;0;2,15;0;;;
6/1/2019 00:15;0;2,13;0;;;
6/1/2019 00:30;0;2,12;0;;;
6/1/2019 00:45;0;2,1;0;;;
6/1/2019 01:00;0;2,09;0;;;
6/1/2019 01:15;0;2,07;0;;;
6/1/2019 01:30;0;2,06;0;;;
6/1/2019 01:45;0;2,05;0;;;
6/1/2019 02:00;0,199999999999989;2,04;0,199999999999989;;;
6/1/2019 02:15;0;2,03;0;;;
6/1/2019 02:30;0;2,02;0;;;
6/1/2019 02:45;0;2,01;0;;;
6/1/2019 03:00;0;2;0;;;
6/1/2019 03:15;0;1,99;0;;;
6/1/2019 03:30;0;1,98;0;;;
6/1/2019 03:45;0;1,97;0;;;
6/1/2019 04:00;0;1,96;0;;;
6/1/2019 04:15;0;1,95;0;;;
6/1/2019 04:30;0;1,94;0;;;
6/1/2019 04:45;0;1,93;0;;;
6/1/2019 05:00;0;1,92;0;;;
6/1/2019 05:15;0;1,91;0;;;
6/1/2019 05:30;0;1,9;0;;;
6/1/2019 05:45;0;1,89;0;;;
6/1/2019 06:00;0;1,88;0;;;
6/1/2019 06:15;0;1,87;0;;;
6/1/2019 06:30;0;1,87;0;;;
6/1/2019 06:45;0;1,86;0;;;
6/1/2019 07:00;0;1,86;0;;;
6/1/2019 07:15;0;1,85;0;;;
6/1/2019 07:30;0;1,85;0;;;
6/1/2019 07:45;0;1,85;0;;;
6/1/2019 08:00;0;1,84;0;;;
6/1/2019 08:15;0;1,84;0;;;
6/1/2019 08:30;0;1,84;0;;;
6/1/2019 08:45;0;1,83;0;;;
6/1/2019 09:00;0;1,83;0;;;
6/1/2019 09:15;0;1,83;0;;;
6/1/2019 09:30;0;1,82;0;;;
6/1/2019 09:45;0;1,82;0;;;
6/1/2019 10:00;0;1,82;0;;;
6/1/2019 10:15;0;1,81;0;;;
6/1/2019 10:30;0;1,81;0;;;
6/1/2019 10:45;0;1,81;0;;;
6/1/2019 11:00;0;1,8;0;;;
6/1/2019 11:15;0;1,8;0;;;
6/1/2019 11:30;0;1,8;0;;;
6/1/2019 11:45;0;1,79;0;;;
6/1/2019 12:00;0;1,79;0;;;
6/1/2019 12:15;0;1,79;0;;;
6/1/2019 12:30;0;1,79;0;;;
6/1/2019 12:45;0;1,79;0;;;
6/1/2019 13:00;0;1,79;0;;;
6/1/2019 13:15;0;1,79;0;;;
6/1/2019 13:30;0;1,79;0;;;
6/1/2019 13:45;0;1,79;0;;;
6/1/2019 14:00;0;1,79;0;;;
6/1/2019 14:15;0;1,79;0;;;
6/1/2019 14:30;0;1,79;0;;;
6/1/2019 14:45;0;1,8;0;;;
6/1/2019 15:00;0;1,8;0;;;
6/1/2019 15:15;0;1,8;0;;;
6/1/2019 15:30;0,200000000000003;1,8;0,200000000000003;;;
6/1/2019 15:45;0;1,81;0;;;
6/1/2019 16:00;0;1,81;0;;;
6/1/2019 16:15;0;1,81;0;;;
6/1/2019 16:30;0;1,81;0;;;
6/1/2019 16:45;0;1,82;0;;;
6/1/2019 17:00;0;1,82;0;;;
6/1/2019 17:15;0;1,82;0;;;
6/1/2019 17:30;0;1,83;0;;;
6/1/2019 17:45;0;1,83;0;;;
6/1/2019 18:00;0;1,83;0;;;
6/1/2019 18:15;0;1,83;0;;;
6/1/2019 18:30;0;1,84;0;;;
6/1/2019 18:45;0;1,84;0;;;
6/1/2019 19:00;0;1,85;0;;;
6/1/2019 19:15;0;1,85;0;;;
6/1/2019 19:30;0;1,85;0;;;
6/1/2019 19:45;0;1,86;0;;;
6/1/2019 20:00;0;1,86;0;;;
6/1/2019 20:15;0;1,86;0;;;
6/1/2019 20:30;0;1,87;0;;;
6/1/2019 20:45;0;1,87;0;;;
6/1/2019 21:00;0;1,87;0;;;
6/1/2019 21:15;0;1,87;0;;;
6/1/2019 21:30;0;1,87;0;;;
6/1/2019 21:45;0;1,88;0;;;
6/1/2019 22:00;0;1,88;0;;;
6/1/2019 22:15;0;1,88;0;;;
6/1/2019 22:30;0;1,88;0;;;
6/1/2019 22:45;0;1,88;0;;;
6/1/2019 23:00;0;1,88;0;;;
6/1/2019 23:15;0;1,89;0;;;
6/1/2019 23:30;0;1,89;0;;;
6/1/2019 23:45;0;1,89;0;;;
7/1/2019 00:00;0;1,89;0;;;
7/1/2019 00:15;0;1,89;0;;;
7/1/2019 00:30;0;1,89;0;;;
7/1/2019 00:45;0;1,88;0;;;
7/1/2019 01:00;0;1,88;0;;;
7/1/2019 01:15;0;1,87;0;;;
7/1/2019 01:30;0;1,87;0;;;
7/1/2019 01:45;0;1,87;0;;;
7/1/2019 02:00;0;1,86;0;;;
7/1/2019 02:15;0;1,86;0;;;
7/1/2019 02:30;0;1,86;0;;;
7/1/2019 02:45;0;1,86;0;;;
7/1/2019 03:00;0;1,85;0;;;
7/1/2019 03:15;0;1,85;0;;;
7/1/2019 03:30;0;1,85;0;;;
7/1/2019 03:45;0,200000000000003;1,84;0,200000000000003;;;
7/1/2019 04:00;0;1,84;0;;;
7/1/2019 04:15;0;1,84;0;;;
7/1/2019 04:30;0;1,84;0;;;
7/1/2019 04:45;0;1,84;0;;;
7/1/2019 05:00;0;1,83;0;;;
7/1/2019 05:15;0;1,83;0;;;
7/1/2019 05:30;0;1,83;0;;;
7/1/2019 05:45;0;1,83;0;;;
7/1/2019 06:00;0;1,82;0;;;
7/1/2019 06:15;0;1,82;0;;;
7/1/2019 06:30;0;1,82;0;;;
7/1/2019 06:45;0;1,81;0;;;
7/1/2019 07:00;0;1,81;0;;;
7/1/2019 07:15;0;1,81;0;;;
7/1/2019 07:30;0;1,8;0;;;
7/1/2019 07:45;0;1,8;0;;;
7/1/2019 08:00;0;1,8;0;;;
7/1/2019 08:15;0;1,79;0;;;
7/1/2019 08:30;0;1,79;0;;;
7/1/2019 08:45;0;1,78;0;;;
7/1/2019 09:00;0;1,78;0;;;
7/1/2019 09:15;0;1,78;0;;;
